Title,Publisher,"Field of Research",Rating,ISSN,"ISSN Online",Website
4OR,"Springer Nature",3599,B,1619-4500,1614-2411,https://www.springer.com/journal/10288
"AACE International Transactions","AACE International",3599,B,1528-7106,1528-7106,
Abacus,"Wiley-Blackwell Publishing",3501,A,0001-3072,1467-6281,https://onlinelibrary.wiley.com/journal/14676281
"Academia Economic Papers","American Economic Association",3801,C,1018-161X,,
"Academy of Management Annals","Academy of Management",3507,A*,1941-6520,1941-6067,https://aom.org/research/journals/annals
"Academy of Management Discoveries","Academy of Management",3507,A,2168-1007,,https://aom.org/research/journals/discoveries
"Academy of Management Journal","Academy of Management",3507,A*,0001-4273,1948-0989,https://aom.org/research/journals/journal
"Academy of Management Learning and Education","Academy of Management",3507,A*,1537-260X,1944-9585,
"Academy of Management Perspectives","Academy of Management",3507,A,1558-9080,1943-4529,
"Academy of Management Review","Academy of Management ",3507,A*,0363-7425,1930-3807,
"Academy of Marketing Studies Journal","Allied Business Academies",3506,B,1095-6298,1528-2678,
"Accident Analysis and Prevention",Elsevier,3509,A*,0001-4575,1879-2057,
"Accountancy Business and the Public Interest","Association for Accountancy & Business Affairs",3501,B,1745-7718,,
"Accounting Accountability and Performance","Griffith University",3501,C,1445-954X,,
"Accounting and Business Research","Taylor & Francis Online",3501,A,0001-4788,2159-4260,
"Accounting and Finance","John Wiley & Sons, Inc.",3501,A,0810-5391,1467-629X,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-629X "
"Accounting and Taxation","Institute for Business and Finance Research",3501,C,1944-592X,,
"Accounting and the Public Interest","American Accounting Association",3501,B,1530-9320,,
"Accounting Auditing and Accountability Journal","Emerald Group Publishing Limited",3501,A*,0951-3574,1758-4205,
"Accounting Education ","Taylor & Francis Online",3501,A,0963-9284,1468-4489,
"Accounting Educators Journal","Academy of Accounting Educators Inc.",3501,B,1041-0392,,
"Accounting Forum","Taylor & Francis Online",3501,B,0155-9982,1467-6303,
"Accounting Historians Journal","American Accounting Association",3501,B,0148-4184,,
"Accounting History","Sage Publications",3501,A,1032-3732,1749-3374,
"Accounting History Review","Taylor & Francis Online",3501,B,2155-2851,2155-286X,
"Accounting Horizons","American Accounting Association",3501,A,0888-7993,1558-7975,
"Accounting in Europe","Taylor & Francis Online",3501,A,1744-9480,1744-9499,
"Accounting Perspectives","Wiley-Blackwell Publishing",3501,B,1911-382X,1911-3838,
"Accounting Research Journal","Emerald Group Publishing",3501,B,1030-9616,,
"Accounting, Economics and Law: A Convivium","De Gruyter ",3501,B,2194-6051,2152-2820,
"Accounting, Finance and Governance Review","Irish Accounting and Finance Association",3501,C,0791-9638,,
"Accounting, Organizations and Society",Elsevier,3501,A*,0361-3682,1873-6289,
"ACM Transactions on Computer-Human Interaction","Association for Computing Machinery",4609,A*,1073-0516,1557-7325,
"ACM Transactions on Computing Education","Association for Computing Machinery",4609,C,1531-4278,1531-4278,
"ACM Transactions on Information Systems","Association for Computing Machinery",4609,C,1046-8188,1558-2868,
"ACM Transactions on Modeling and Computer Simulation","Association for Computing Machinery",3599,B,1049-3301,1558-1195,
"Acta Oeconomica","Akademiai Kiado",3899,C,0001-6373,1588-2659,
"Acta Psychologica",Elsevier,3507,A,0001-6918,1873-6297,
"Acta Turistica","University of Zagreb, Faculty of Economics and Business",3508,C,0353-4316,1848-6061,
"Acta Universitatis Bohemiae Meridionalis",Sciendo,3801,C,1212-3285,2336-4297,
"Action Learning and Action Research Journal","ALARA Association Inc.",3507,C,1326-964X,1326-964X,
"Action Learning Research and Practice ","Taylor and Francis Online",3507,C,1476-7333,1476-7341,
"Active Learning in Higher Education","Sage Publications",3505,B,1469-7874,1741-2625,
"Actuarial Research Clearinghouse","SOA Education and Research Section",3502,C,0732-5428,,
