ISSN,Field,JournalTitle,Publisher,AJG2021,AJG2020
1558-7967,ACCOUNT 50 100,Accounting Review,American Accounting Association,4*,4.0
1873-6289,ACCOUNT All,"Accounting, Organizations and Society",Elsevier,4*,4.0
1879-1980,ACCOUNT,Journal of Accounting and Economics,Elsevier,4*,4.0
1475-679X,ACCOUNT,Journal of Accounting Research,Wiley-Blackwell,4*,4.0
1911-3846,ACCOUNT,Contemporary Accounting Research,Wiley-Blackwell,4,0
1573-7136,ACCOUNT,Review of Accounting Studies,Springer Nature,4,0
1467-6281,ACCOUNT,Abacus,Wiley-Blackwell,3,0
2159-4260,ACCOUNT,Accounting and Business Research,Taylor & Francis,3,0
1467-6303,ACCOUNT,Accounting Forum,Elsevier,3,0
1558-7975,ACCOUNT,Accounting Horizons,American Accounting Association,3,0
1758-4205,ACCOUNT,"Accounting, Auditing and Accountability Journal",Emerald,3,0
1558-7991,ACCOUNT,Auditing,American Accounting Association,3,0
1558-8009,ACCOUNT,Behavioral Research in Accounting,American Accounting Association,3,0
1095-8347,ACCOUNT,British Accounting Review,Elsevier,3,0
0007-1870,ACCOUNT,British Tax Review,Thomson Reuters,3,0
1095-9955,ACCOUNT,Critical Perspectives on Accounting,Elsevier,3,0
1468-4497,ACCOUNT,European Accounting Review,Taylor & Francis,3,0
1468-0408,ACCOUNT,Financial Accountability and Management,Wiley-Blackwell,3,0
1554-0650,ACCOUNT,Foundations and Trends in Accounting,Now Publishers Inc.,3,0
1094-4060,ACCOUNT,International Journal of Accounting,Elsevier,3,0
1873-2070,ACCOUNT,Journal of Accounting and Public Policy,Elsevier,3,0
0737-4607,ACCOUNT,Journal of Accounting Literature,Elsevier,3,0
0148-558X,ACCOUNT,"Journal of Accounting, Auditing and Finance",SAGE,3,0
1468-5957,ACCOUNT,Journal of Business Finance and Accounting,Wiley-Blackwell,3,0
1061-9518,ACCOUNT,"Journal of International Accounting, Auditing and Taxation",Elsevier,3,0
1558-8017,ACCOUNT,Journal of the American Taxation Association,American Accounting Association,3,0
1096-1224,ACCOUNT,Management Accounting Research,Elsevier,3,0
1467-629X,ACCOUNT,Accounting and Finance,Wiley-Blackwell,2,0
1530-9320,ACCOUNT,Accounting and the Public Interest,American Accounting Association,2,0
1744-9499,ACCOUNT,Accounting in Europe,Taylor & Francis,2,0
1030-9616,ACCOUNT,Accounting Research Journal,Emerald,2,0
2152-2820,ACCOUNT,"Accounting, Economics and Law: A Convivium",Walter de Gruyter,2,0
1046-5715,ACCOUNT,Advances in Accounting,Elsevier,2,0
1475-1488,ACCOUNT,Advances in Accounting Behavioral Research,Emerald,2,0
1474-7871,ACCOUNT,Advances in Management Accounting,Emerald,2,0
1058-7497,ACCOUNT,Advances in Taxation,Emerald,2,0
2164-2257,ACCOUNT,Asia-Pacific Journal of Accounting and Economics,Taylor & Francis,2,0
1758-8863,ACCOUNT,Asian Review of Accounting,Emerald,2,0
1835-2561,ACCOUNT,Australian Accounting Review,Wiley-Blackwell,2,0
1755-3091,ACCOUNT,China Journal of Accounting Research,Elsevier,2,0
1936-1270,ACCOUNT,Current Issues in Auditing,American Accounting Association,2,0
1758-9037,ACCOUNT,International Journal of Accounting and Information Management,Emerald,2,0
1873-4723,ACCOUNT,International Journal of Accounting Information Systems,Elsevier,2,0
1740-8016,ACCOUNT,"International Journal of Accounting, Auditing and Performance Evaluation",Inderscience Publishers,2,0
1099-1123,ACCOUNT,International Journal of Auditing,Wiley-Blackwell,2,0
1746-6539,ACCOUNT,International Journal of Disclosure and Governance,Springer Nature,2,0
1753-6723,ACCOUNT,International Journal of Managerial and Financial Accounting,Inderscience Publishers,2,0
1832-5912,ACCOUNT,Journal of Accounting and Organizational Change,Emerald,2,0
2042-1176,ACCOUNT,Journal of Accounting in Emerging Economies,Emerald,2,0
0967-5426,ACCOUNT,Journal of Applied Accounting Research,Emerald,2,0
1815-5669,ACCOUNT,Journal of Contemporary Accounting and Economics,Elsevier,2,0
1558-8025,ACCOUNT,Journal of International Accounting Research,American Accounting Association,2,0
1467-646X,ACCOUNT,Journal of International Financial Management and Accounting,Wiley-Blackwell,2,0
1558-8033,ACCOUNT,Journal of Management Accounting Research,American Accounting Association,2,0
2191-477X,ACCOUNT,Journal of Management Control,Springer Nature,2,0
